filepath,participant_id,label,sample_id,num_frames,duration,detection_rate,handedness,created_at
dataset/swipe_left/user00_swipe_left_0001.npz,user00,swipe_left,1,46,1.5043,100.0,Right,2026-09-04T17:50:58+09:00
dataset/swipe_left/user00_swipe_left_0002.npz,user00,swipe_left,2,45,1.4623,100.0,Right,2026-09-04T17:51:01+09:00
dataset/swipe_left/user00_swipe_left_0003.npz,user00,swipe_left,3,44,1.4238,100.0,Right,2026-09-04T17:51:04+09:00
dataset/swipe_left/user00_swipe_left_0004.npz,user00,swipe_left,4,38,1.2801,100.0,Right,2026-09-04T17:51:08+09:00
dataset/swipe_left/user00_swipe_left_0005.npz,user00,swipe_left,5,36,1.2479,100.0,Right,2026-09-04T17:51:11+09:00
dataset/swipe_left/user00_swipe_left_0006.npz,user00,swipe_left,6,39,1.2477,100.0,Right,2026-09-04T17:51:17+09:00
dataset/swipe_left/user00_swipe_left_0007.npz,user00,swipe_left,7,33,1.0559,100.0,Right,2026-09-04T17:51:20+09:00
dataset/swipe_left/user00_swipe_left_0008.npz,user00,swipe_left,8,28,0.88,100.0,Right,2026-09-04T17:51:23+09:00
dataset/swipe_left/user00_swipe_left_0009.npz,user00,swipe_left,9,34,1.0724,100.0,Right,2026-09-04T17:51:25+09:00
dataset/swipe_left/user00_swipe_left_0010.npz,user00,swipe_left,10,35,1.1042,100.0,Right,2026-09-04T17:51:29+09:00
dataset/swipe_left/user00_swipe_left_0011.npz,user00,swipe_left,11,41,1.3119,100.0,Right,2026-09-04T17:51:32+09:00
dataset/swipe_left/user00_swipe_left_0012.npz,user00,swipe_left,12,40,1.2801,100.0,Right,2026-09-04T17:51:37+09:00
dataset/swipe_left/user00_swipe_left_0013.npz,user00,swipe_left,13,35,1.1359,100.0,Right,2026-09-04T22:59:42+09:00
dataset/swipe_left/user00_swipe_left_0014.npz,user00,swipe_left,14,27,0.8797,100.0,Right,2026-09-04T22:59:44+09:00
dataset/swipe_left/user00_swipe_left_0015.npz,user00,swipe_left,15,24,0.7679,100.0,Right,2026-09-04T22:59:47+09:00
dataset/swipe_left/user00_swipe_left_0016.npz,user00,swipe_left,16,28,0.912,100.0,Right,2026-09-04T22:59:49+09:00
dataset/swipe_left/user00_swipe_left_0017.npz,user00,swipe_left,17,27,0.8798,100.0,Right,2026-09-04T22:59:52+09:00
dataset/swipe_left/user00_swipe_left_0018.npz,user00,swipe_left,18,31,1.0079,100.0,Right,2026-09-04T22:59:55+09:00
dataset/swipe_left/user00_swipe_left_0019.npz,user00,swipe_left,19,27,0.8805,100.0,Right,2026-09-04T22:59:57+09:00
dataset/swipe_left/user00_swipe_left_0020.npz,user00,swipe_left,20,30,0.9759,100.0,Right,2026-09-04T23:00:00+09:00
dataset/swipe_left/user00_swipe_left_0021.npz,user00,swipe_left,21,23,0.7519,100.0,Right,2026-09-04T23:00:03+09:00
dataset/swipe_left/user00_swipe_left_0022.npz,user00,swipe_left,22,23,0.7362,91.3043,Right,2026-09-04T23:00:09+09:00
dataset/swipe_left/user00_swipe_left_0023.npz,user00,swipe_left,23,27,0.8799,100.0,Right,2026-09-04T23:00:12+09:00
dataset/swipe_left/user00_swipe_left_0024.npz,user00,swipe_left,24,25,0.7998,100.0,Right,2026-09-04T23:00:14+09:00
dataset/swipe_left/user00_swipe_left_0025.npz,user00,swipe_left,25,22,0.7038,95.4545,Right,2026-09-04T23:00:16+09:00
dataset/swipe_left/user00_swipe_left_0026.npz,user00,swipe_left,26,21,0.6721,100.0,Right,2026-09-04T23:00:19+09:00
dataset/swipe_left/user00_swipe_left_0027.npz,user00,swipe_left,27,20,0.6397,95.0,Right,2026-09-04T23:00:22+09:00
dataset/swipe_left/user00_swipe_left_0028.npz,user00,swipe_left,28,21,0.672,100.0,Right,2026-09-04T23:00:24+09:00
dataset/swipe_left/user00_swipe_left_0029.npz,user00,swipe_left,29,22,0.7038,100.0,Right,2026-09-04T23:00:26+09:00
dataset/swipe_left/user00_swipe_left_0030.npz,user00,swipe_left,30,22,0.7199,100.0,Right,2026-09-04T23:00:29+09:00
dataset/swipe_left/user00_swipe_left_0031.npz,user00,swipe_left,31,21,0.6882,95.2381,Right,2026-09-04T23:00:31+09:00
dataset/swipe_left/user00_swipe_left_0032.npz,user00,swipe_left,32,26,0.8481,100.0,Right,2026-09-04T23:00:34+09:00
dataset/swipe_left/user00_swipe_left_0033.npz,user00,swipe_left,33,26,0.8476,100.0,Right,2026-09-04T23:26:27+09:00
dataset/swipe_left/user00_swipe_left_0034.npz,user00,swipe_left,34,32,1.0561,100.0,Right,2026-09-04T23:26:30+09:00
dataset/swipe_left/user00_swipe_left_0035.npz,user00,swipe_left,35,32,1.0401,100.0,Right,2026-09-04T23:26:33+09:00
dataset/swipe_left/user00_swipe_left_0036.npz,user00,swipe_left,36,40,1.3128,100.0,Right,2026-09-04T23:26:36+09:00
dataset/swipe_left/user00_swipe_left_0037.npz,user00,swipe_left,37,34,1.12,100.0,Right,2026-09-04T23:26:38+09:00
